Time,Name,Z0,Z1,Reference
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
